Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
243    $ . end statement_list' ) expressio...   b ...                          PREDICT simple_expression -> term simple_expression'
244    $ . end statement_list' ) expressio...   b ...                          PREDICT term -> factor term'
245    $ . end statement_list' ) expressio...   b ...                          PREDICT factor -> id factor_id_tail
246    $ . end statement_list' ) expressio...   b ...                          MATCH 'id'
247    $ . end statement_list' ) expressio...   ) ...                          PREDICT factor_id_tail -> epsilon
248    $ . end statement_list' ) expressio...   ) ...                          REDUCE factor_id_tail -> epsilon
249    $ . end statement_list' ) expressio...   ) ...                          REDUCE factor -> id factor_id_tail
250    $ . end statement_list' ) expressio...   ) ...                          PREDICT term' -> epsilon
251    $ . end statement_list' ) expressio...   ) ...                          REDUCE term' -> epsilon
252    $ . end statement_list' ) expressio...   ) ...                          REDUCE term -> factor term'
253    $ . end statement_list' ) expressio...   ) ...                          PREDICT simple_expression' -> epsilon
254    $ . end statement_list' ) expressio...   ) ...                          REDUCE simple_expression' -> epsilon
255    $ . end statement_list' ) expressio...   ) ...                          REDUCE simple_expression -> term simple_expression'
256    $ . end statement_list' ) expressio...   ) ...                          PREDICT expression_tail -> epsilon
257    $ . end statement_list' ) expressio...   ) ...                          REDUCE expression_tail -> epsilon
258    $ . end statement_list' ) expressio...   ) ...                          REDUCE expression -> simple_expression expression_tail
259    $ . end statement_list' ) expressio...   ) ...                          PREDICT expression_list' -> epsilon
260    $ . end statement_list' )                ) ...                          REDUCE expression_list' -> epsilon
261    $ . end statement_list' )                ) ...                          REDUCE expression_list -> expression expression_list'
262    $ . end statement_list' )                ) ...                          MATCH ')'
263    $ . end statement_list'                  ; ...                          REDUCE statement -> write ( expression_list )
264    $ . end statement_list'                  ; ...                          PREDICT statement_list' -> ; statement statement_list'
265    $ . end statement_list' statement ;      ; ...                          MATCH ';'
266    $ . end statement_list' statement        end ...                        PREDICT statement -> epsilon
267    $ . end statement_list'                  end ...                        REDUCE statement -> epsilon
268    $ . end statement_list'                  end ...                        PREDICT statement_list' -> epsilon
269    $ . end                                  end ...                        REDUCE statement_list' -> epsilon
270    $ . end                                  end ...                        REDUCE statement_list' -> ; statement statement_list'
271    $ . end                                  end ...                        REDUCE statement_list' -> ; statement statement_list'
272    $ . end                                  end ...                        REDUCE statement_list' -> ; statement statement_list'
273    $ . end                                  end ...                        REDUCE statement_list -> statement statement_list'
274    $ . end                                  end ...                        MATCH 'end'
275    $ .                                      . ...                          REDUCE compound_statement -> begin statement_list end
276    $ .                                      . ...                          REDUCE program_body -> const_declarations var_declarations subprogram_declarations compound_statement
277    $ .                                      . ...                          MATCH '.'
278    $                                        $                              REDUCE programstruct -> program_head ; program_body .
279    $                                        $                              ACCEPT
------------------------------------------------------------
